language,side,feature,median,q1,q3,iqr
it,complex,lexical_density,0.5,0.45652173913043476,0.5384615384615384,0.08193979933110368
it,complex,n_unique_lemmas,24.0,18.0,32.0,14.0
it,complex,lexical_diversity,4.587317109255645,4.0,5.069673138685312,1.069673138685312
it,complex,n_verbs,3.0,2.0,4.0,2.0
it,complex,n_finite_verbs,1.0,0.0,2.0,2.0
it,complex,n_clauses,2.0,1.5,3.0,1.5
it,complex,n_subordinate_clauses,1.0,0.5,2.0,1.5
it,complex,subordinate_rate,0.041666666666666664,0.00625,0.06666666666666667,0.06041666666666667
it,complex,tree_depth,6.0,4.0,8.0,4.0
it,complex,mean_dep_distance,2.914285714285714,2.5192592592592593,3.4064064064064064,0.887147147147147
it,complex,max_dep_distance,20.0,13.0,30.0,17.0
it,complex,n_punct,3.0,1.0,4.0,3.0
it,complex,n_named_entities,1.0,0.0,3.0,3.0
it,complex,n_numbers,0.0,0.0,1.0,1.0
it,complex,n_negations,0.0,0.0,0.0,0.0
it,simple,n_tokens,32.0,22.0,48.0,26.0
it,simple,char_count,141.0,96.5,214.0,117.5
it,simple,mean_token_length,4.454545454545454,4.142857142857143,4.75,0.6071428571428568
it,simple,n_content_tokens,15.0,11.0,22.0,11.0
it,simple,lexical_density,0.4838709677419355,0.4444444444444444,0.5232683982683983,0.07882395382395391
it,simple,n_unique_lemmas,25.0,18.0,33.0,15.0
it,simple,lexical_diversity,4.333333333333333,3.7763068016137336,4.845364886634855,1.0690580850211218
it,simple,n_verbs,3.0,2.0,5.0,3.0
it,simple,n_finite_verbs,2.0,1.0,3.0,2.0
it,simple,n_clauses,3.0,2.0,4.0,2.0
it,simple,n_subordinate_clauses,2.0,1.0,3.0,2.0
it,simple,subordinate_rate,0.043478260869565216,0.01695402298850575,0.07537025765875431,0.05841623467024856
it,simple,tree_depth,5.0,4.0,7.0,3.0
it,simple,mean_dep_distance,3.1666666666666665,2.6153846153846154,3.691742081447964,1.0763574660633486
it,simple,max_dep_distance,21.0,13.0,32.0,19.0
it,simple,n_punct,4.0,2.0,7.0,5.0
it,simple,n_named_entities,2.0,0.0,4.0,4.0
it,simple,n_numbers,0.0,0.0,1.0,1.0
it,simple,n_negations,0.0,0.0,0.0,0.0
